ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
8,0.000,0.000,0.000,0.000,{built-in method posix.fstat}
4,0.000,0.000,0.000,0.000,{built-in method posix.isatty}
2,0.000,0.000,0.000,0.000,{built-in method posix.putenv}
2,0.000,0.000,0.000,0.000,{built-in method posix.unsetenv}
1,0.000,0.000,0.000,0.000,{built-in method posix.confstr}
4,0.000,0.000,0.000,0.000,{built-in method posix.sysconf}
3,0.000,0.000,0.000,0.000,{built-in method posix.urandom}
8259,0.005,0.000,0.005,0.000,{built-in method posix.fspath}
1,0.000,0.000,0.000,0.000,{built-in method sys.getdefaultencoding}
1,0.000,0.000,0.000,0.000,{built-in method sys.getdlopenflags}
16,0.000,0.000,0.000,0.000,{built-in method sys.getrecursionlimit}
114,0.000,0.000,0.000,0.000,{built-in method sys._getframe}
266,0.000,0.000,0.000,0.000,{built-in method sys.intern}
2,0.000,0.000,0.000,0.000,{built-in method sys.setdlopenflags}
966,0.314,0.000,0.314,0.000,{built-in method marshal.loads}
7470,0.005,0.000,0.005,0.000,{built-in method _imp.acquire_lock}
7470,0.006,0.000,0.006,0.000,{built-in method _imp.release_lock}
5,0.000,0.000,0.000,0.000,{built-in method _imp.create_builtin}
184,0.001,0.000,0.001,0.000,{built-in method _imp.is_builtin}
1166,0.002,0.000,0.002,0.000,{built-in method _imp.is_frozen}
133/130,0.107,0.001,0.119,0.001,{built-in method _imp.create_dynamic}
133/87,0.055,0.000,0.220,0.003,{built-in method _imp.exec_dynamic}
5,0.000,0.000,0.000,0.000,{built-in method _imp.exec_builtin}
966,0.003,0.000,0.003,0.000,{built-in method _imp._fix_co_filename}
46,0.000,0.000,0.000,0.000,{built-in method _warnings._filters_mutated}
44,0.000,0.000,0.000,0.000,{method 'encode' of 'str' objects}
6423,0.005,0.000,0.005,0.000,{method 'replace' of 'str' objects}
1936,0.004,0.000,0.004,0.000,{method 'split' of 'str' objects}
18,0.000,0.000,0.000,0.000,{method 'rsplit' of 'str' objects}
19266/19194,0.023,0.000,0.029,0.000,{method 'join' of 'str' objects}
2,0.000,0.000,0.000,0.000,{method 'title' of 'str' objects}
5,0.000,0.000,0.000,0.000,{method 'count' of 'str' objects}
1080,0.002,0.000,0.002,0.000,{method 'expandtabs' of 'str' objects}
54,0.000,0.000,0.000,0.000,{method 'find' of 'str' objects}
176743,0.155,0.000,0.155,0.000,{method 'partition' of 'str' objects}
3,0.000,0.000,0.000,0.000,{method 'index' of 'str' objects}
4680,0.003,0.000,0.003,0.000,{method 'lower' of 'str' objects}
1314,0.001,0.000,0.001,0.000,{method 'lstrip' of 'str' objects}
2413,0.002,0.000,0.002,0.000,{method 'rfind' of 'str' objects}
25563,0.012,0.000,0.012,0.000,{method 'rstrip' of 'str' objects}
9868,0.012,0.000,0.012,0.000,{method 'rpartition' of 'str' objects}
134,0.001,0.000,0.001,0.000,{method 'splitlines' of 'str' objects}
